"country","AreaName","RegName","incomeperperson","alcconsumption","armedforcesrate","breastcancerper100th","co2emissions","femaleemployrate","hivrate","internetuserate","lifeexpectancy","polityscore","relectricperperson","suicideper100th","employrate","urbanrate","Religion"
"Afghanistan","Asia","Southern Asia","","0.03","0.5696534","26.8","75944000","25.60000038","","3.654121623","48.673","0","","6.6843853","55.70000076","24.04","Islam"
"Albania","Europe","Southern Europe","1914.996551","7.29","1.0247361","57.4","223747333.3","42.09999847","","44.98994696","76.918","9","636.3413834","7.699329853","51.40000153","46.72","Islam"
"Algeria","Africa","Northern Africa","2231.993335","0.69","2.306817","23.5","2932108667","31.70000076","0.1","12.50007331","73.131","2","590.5098143","4.848769665","50.5","65.22","Islam"
"Andorra","Europe","Southern Europe","21943.3399","10.17","","","","","","81","","","","5.362178802","","88.92","Christianity"
"Angola","Africa","Middle Africa","1381.004268","5.57","1.4613288","23.1","248358000","69.40000153","2","9.999953883","51.093","-2","172.9992274","14.55467701","75.69999695","56.7","Christianity"
"Antigua and Barbuda","Latin America and the Caribbean","Caribbean","11894.46407","8.17","","","16225000","","","80.64545455","","","","2.1618433","","30.46","Christianity"
"Argentina","Latin America and the Caribbean","South America","10749.41924","9.35","0.560987","73.9","5872119000","45.90000153","0.5","36.00033495","75.901","8","768.4282997","7.765584","58.40000153","92","Christianity"
"Armenia","Asia","Western Asia","1326.741757","13.66","2.6184384","51.6","51219666.67","34.20000076","0.1","44.00102458","74.241","5","603.7630576","3.741587877","40.09999847","63.86","Christianity"
"Australia","Oceania","Australia and New Zealand","25249.98606","10.21","0.4862799","83.2","12970092667","54.59999847","0.1","75.8956538","81.907","10","2825.391095","8.470030125","61.5","88.74","Christianity"
"Austria","Europe","Western Europe","26692.98411","12.4","0.8155798","70.5","4466084333","49.70000076","0.3","72.73157554","80.854","10","2068.123309","13.09437","57.09999847","67.16","Christianity"
"Azerbaijan","Asia","Western Asia","2344.896916","13.34","1.9767462","31.5","511107666.7","56.20000076","0.1","46.67970157","70.739","-7","921.5621108","1.380964637","60.90000153","51.92","Islam"
"Bahamas","Latin America and the Caribbean","Caribbean","19630.54055","8.65","0.5452863","54.4","137555000","60.70000076","3.1","42.98458017","75.62","","","3.374415874","66.59999847","83.7","Christianity"
"Bahrain","Asia","Western Asia","12505.21254","4.19","5.2311429","40.2","503994333.3","30.20000076","","54.99280903","75.057","-7","7314.355637","4.414990425","60.40000153","88.52","Islam"
"Bangladesh","Asia","Southern Asia","558.0628766","0.17","0.2878915","16.6","598774000","53.59999847","0.06","3.70000326","68.944","5","68.11522858","14.53835678","68.09999847","27.14","Islam"
"Barbados","Latin America and the Caribbean","Caribbean","9243.587053","6.42","0.6639555","62.5","36160666.67","60.29999924","1.4","70.02859927","76.835","","","3.108602524","66.90000153","39.84","Christianity"
"Belarus","Europe","Eastern Europe","2737.670379","18.85","3.7119299","36","999874333.3","48.59999847","0.3","32.05214391","70.349","-7","614.9072872","26.8746903","53.40000153","73.46","Christianity"
"Belgium","Europe","Western Europe","24496.04826","10.41","0.8156477","92","10897025333","41.70000076","0.2","73.73393447","80.009","8","1920.962215","15.95385","48.59999847","97.36","Christianity"
"Belize","Latin America and the Caribbean","Central America","3545.652174","5.92","0.7583556","29.8","14058000","38.79999924","2.3","12.64573333","76.072","","","9.388795853","56.79999924","51.7","Christianity"
"Benin","Africa","Western Africa","377.0396995","2.08","0.2233986","28.1","37950000","58.20000076","1.2","3.129961803","56.081","7","38.22294336","6.057739735","71.59999847","41.2","Christianity"
"Bhutan","Asia","Southern Asia","1324.194906","0.54","","21.8","6024333.333","39.90000153","0.2","13.59887603","67.185","3","","15.54260254","58.40000153","34.48","Buddhism"
"Bolivia","Latin America and the Caribbean","South America","1232.794137","5.78","1.8821978","24.7","254939666.7","61.59999847","0.2","20.00171014","66.618","7","213.0616137","2.034178495","70.40000153","65.58","Christianity"
"Bosnia and Herzegovina","Europe","Southern Europe","2183.344867","9.6","0.4628471","58.9","236419333.3","34.90000153","","52.00206064","75.67","","927.1194974","11.8367157","41.20000076","47.44","Christianity"
"Botswana","Africa","Southern Africa","4189.436587","6.97","1.1319097","33.4","78943333.33","38.70000076","24.8","5.999835575","53.183","8","454.7957053","11.21397018","46","59.58","Christianity"
"Brazil","Latin America and the Caribbean","South America","4699.411262","10.08","0.7213964","46","9580226333","53.29999924","0.45","40.650098","73.488","8","498.1653052","4.777007","64.5","85.58","Christianity"
"Brunei","Asia","South-Eastern Asia","17092.46","1.86","4.683989","20.6","254206333.3","55.5","","49.98997494","78.005","","3067.498901","1.370001554","63.79999924","74.82","Islam"
"Bulgaria","Europe","Eastern Europe","2549.558474","11.4","2.0433877","46.2","3157700333","42.09999847","0.1","45.98658991","73.371","9","1380.869289","9.216544","47.29999924","71.1","Christianity"
"Burkina Faso","Africa","Western Africa","276.200413","7.32","0.1629041","30.6","20628666.67","75.80000305","1.2","1.4000607","55.439","0","","8.204221725","81.30000305","19.56","Islam"
"Burundi","Africa","Eastern Africa","115.3059959","9.65","1.1577498","19.5","8092333.333","83.30000305","3.3","2.100212706","50.411","6","","14.68093586","83.19999695","10.4","Christianity"
"Cambodia","Asia","South-Eastern Asia","557.9475126","4.71","2.5364458","21.5","45411666.67","73.40000153","0.5","1.259933609","63.125","2","51.58131958","4.961071491","78.90000153","21.56","Buddhism"
"Cameroon","Africa","Middle Africa","713.6393027","7.9","0.305758","29.7","125172666.7","49","5.3","3.999977346","51.61","-4","59.55124498","7.214220524","59.09999847","56.76","Christianity"
"Canada","Northern America","Northern America","25575.35262","10.2","0.3429763","84.3","24979045667","58.90000153","0.2","81.33839269","81.012","10","4772.370648","10.10099","63.5","80.4","Christianity"
"Cape Verde","Africa","Western Africa","1959.844472","4.98","0.4833248","28.1","5214000","43.59999847","","29.99993952","74.156","","","5.633333683","55.90000153","59.62","Christianity"
"Central African Republic","Africa","Middle Africa","239.5187494","3.17","0.1486587","16.5","8338000","62.90000153","4.7","2.300026653","48.398","-1","","13.54841995","71.30000305","38.58","Christianity"
"Chad","Africa","Middle Africa","275.8842865","4.39","0.8358123","16.5","7608333.333","66.30000305","3.4","1.700031496","49.553","-2","","8.283070564","68.90000153","26.68","Islam"
"Chile","Latin America and the Caribbean","South America","6334.105194","8.81","1.3411144","43.9","1839471333","35.5","0.4","45","79.12","10","532.5151772","10.17187","51","88.44","Christianity"
"China","Asia","Eastern Asia","2425.471293","5.56","0.3713568","18.7","101000000000","68.90000153","0.1","34.37778952","73.456","-7","331.376632","16.91324806","72.80000305","43.1","Unaffiliated Religions"
"Colombia","Latin America and the Caribbean","South America","3233.42378","6.59","2.2156207","30.3","2269806000","54.90000153","0.5","36.49987464","73.703","7","404.5913654","4.907702","63.20000076","74.5","Christianity"
"Comoros","Africa","Eastern Africa","336.3687495","0.28","","19.5","2368666.667","59.29999924","0.1","5.098265306","61.061","9","","4.751083851","68","28.08","Islam"
"congo democratique","Africa","Middle Africa","103.7758572","3.39","0.628381","10.3","169180000","50.40000153","","0.720008677","48.397","5","30.70924355","14.71302032","66.19999695","33.96","Christianity"
"congo republic","Africa","Middle Africa","1253.292015","4.46","0.7716936","20.6","46306333.33","52.29999924","3.4","4.999875093","57.379","-4","56.37245031","9.873761177","64.19999695","61.34","Christianity"
"Costa Rica","Latin America and the Caribbean","Central America","5188.900935","5.81","0.4736536","30.9","148470666.7","40.09999847","0.3","36.49911472","79.311","10","798.3405996","6.597168","58.59999847","63.26","Christianity"
"cote d'ivoire","Africa","Western Africa","591.0679443","6.47","0.2339148","26","228748666.7","38.09999847","3.4","2.599973655","55.377","0","70.38744444","20.31793022","59.90000153","48.78","Christianity"
"Croatia","Europe","Southern Europe","6338.494668","15","1.1032787","62.1","310024000","39.40000153","0.06","60.11970702","76.64","9","1494.410268","14.77625","47.09999847","57.28","Christianity"
"Cuba","Latin America and the Caribbean","Caribbean","4495.046262","5.12","1.4953835","31.2","1286670000","43.70000076","0.1","15.89997034","79.143","-7","528.7873497","10.57191","56","75.66","Christianity"
"Cyprus","Asia","Western Asia","15313.85935","8.84","2.4549129","67.2","183535000","51.29999924","","53.02474483","79.591","10","2123.762863","2.206169","59.09999847","69.9","Christianity"
"czech republic","Europe","Eastern Europe","7381.312751","16.47","0.5157058","58.4","1776016000","47.59999847","0.06","68.63813347","77.685","8","1438.780412","12.36798","56","73.5","Unaffiliated Religions"
"Denmark","Europe","Northern Europe","30532.27704","12.02","1.012373","88.7","3503877667","58.09999847","0.2","88.77025387","78.826","10","1884.299342","8.973104","63.09999847","86.68","Christianity"
"Djibouti","Africa","Eastern Africa","895.3183396","1.87","3.4515458","19.5","14054333.33","","2.5","6.49792351","57.937","2","","4.993475914","","87.3","Islam"
"Dominique","Latin America and the Caribbean","Caribbean","6147.77961","8.68","","","2401666.667","","","47.28043603","","","","5.835250854","","73.92","Christianity"
"Dominican Republic","Latin America and the Caribbean","Caribbean","4049.169629","6.28","1.469369","36.1","446365333.3","40.5","0.9","39.53127426","73.396","8","457.6448423","6.519536972","52.70000076","69.02","Christianity"
"Ecuador","Latin America and the Caribbean","South America","1728.020976","9.43","1.0179463","23.5","692039333.3","45.5","0.4","28.99947674","75.632","5","314.8261997","8.504684448","59.70000076","65.58","Christianity"
"Egypt","Africa","Northern Africa","1975.551906","0.32","3.2908071","24.2","3341129000","18.20000076","0.06","26.74002538","73.235","-3","536.7604507","1.799903631","42.40000153","42.72","Islam"
"El Salvador","Latin America and the Caribbean","Central America","2557.433638","3.99","1.321155","13.6","143586666.7","44.79999924","0.8","15.89998203","72.196","8","256.0991513","7.304886","58.20000076","60.7","Christianity"
"Equatorial Guinea","Africa","Middle Africa","8654.536845","6.12","0.3976544","16.5","26125000","39.59999847","5","6.003437143","51.088","-5","","10.12934971","61.70000076","39.38","Christianity"
"Eritrea","Africa","Eastern Africa","131.796207","1.64","9.8201265","19.5","7315000","51.70000076","0.8","5.399666997","61.597","-7","20.28813109","8.913362503","64.90000153","20.72","Christianity"
"Estonia","Europe","Northern Europe","6238.537506","17.24","0.9984276","47.7","277170666.7","52.09999847","1.2","74.1630403","74.825","9","1411.230532","16.95924","56.5","69.46","Unaffiliated Religions"
"Ethiopia","Africa","Eastern Africa","220.8912479","4.1","0.3617085","24.7","119958666.7","73","","0.74999585","59.274","1","15.05623591","10.07194233","80.69999695","17","Christianity"
"Fiji","Oceania","Melanesia","2230.676374","2.76","1.1772684","31.2","35717000","36.79999924","0.1","14.83073588","69.245","-4","","3.94025898","56.40000153","52.36","Christianity"
"Finland","Europe","Northern Europe","27110.73159","13.1","1.1774157","84.7","2420300667","53.40000153","0.1","86.89884451","79.977","10","4036.953993","16.23437","57.20000076","63.3","Christianity"
"France","Europe","Western Europe","22878.46657","12.48","1.2337802","91.9","33341634333","45.59999847","0.4","77.49861935","81.539","9","2539.753273","14.09153","51.20000076","77.36","Christianity"
"Gabon","Africa","Middle Africa","4180.765821","9.46","1.0189063","18.2","170804333.3","52.59999847","5.2","7.232224246","62.703","3","537.1047381","7.745064735","59","85.04","Christianity"
"Gambia","Africa","Western Africa","354.5997263","3.58","0.1345905","6.4","7355333.333","65.69999695","2","9.196775477","58.491","-5","","6.449156761","71.69999695","56.42","Islam"
"Georgia","Asia","Western Asia","1258.762596","6.66","1.4507353","51.8","81191000","48.5","0.1","26.29725148","73.737","6","617.9255518","1.574350119","55.59999847","52.74","Christianity"
"Germany","Europe","Western Europe","25306.18719","12.14","0.5758096","79.8","41229554667","46.79999924","0.1","82.52689791","80.414","10","1693.891898","9.211085","53.5","73.64","Christianity"
"Ghana","Africa","Western Africa","358.9795398","3.11","0.1314868","28.1","188268666.7","64.09999847","1.8","9.549930701","64.228","8","97.24649212","6.288554668","65.09999847","50.02","Christianity"
"Greece","Europe","Southern Europe","13577.87989","11.01","3.0932506","51.6","2712915333","37.79999924","0.1","44.57007444","79.915","10","1690.718434","2.816705","49.59999847","61","Christianity"
"Grenada","Latin America and the Caribbean","Caribbean","5330.401612","10.71","","","4774000","","","33.61668288","75.956","","","3.576478243","","30.84","Christianity"
"Guatemala","Latin America and the Caribbean","Central America","1860.753895","7.1","0.6608385","25.9","242594000","44","0.8","10.49994819","71.172","8","187.3248822","2.234896","62.70000076","48.58","Christianity"
"Guinea","Africa","Western Africa","411.5014473","0.79","0.4026995","15.3","46684000","77.59999847","1.3","0.999958926","54.097","-1","","7.443826199","81.5","34.44","Islam"
"Guinea-Bissau","Africa","Western Africa","161.3171371","3.9","0.9301079","28.1","7813666.667","49.90000153","2.5","2.450362244","48.132","6","","7.563692093","65.90000153","29.84","Islam"
"Guyana","Latin America and the Caribbean","South America","1200.652075","8.7","0.8776657","29.5","69329333.33","41.79999924","1.2","29.87992146","69.927","6","","35.75287247","58.90000153","28.38","Christianity"
"Haiti","Latin America and the Caribbean","Caribbean","371.4241975","5.92","0","4.4","40857666.67","35.40000153","1.9","8.370206884","62.095","5","9.192394708","1.519248009","55.90000153","46.84","Christianity"
"Honduras","Latin America and the Caribbean","Central America","1392.411829","4.43","0.7108232","25.9","131703000","34.20000076","0.8","11.09076463","73.126","7","278.739635","7.060184479","56.29999924","47.88","Christianity"
"Hong Kong","Asia","Eastern Asia","35536.07247","","","","1026813333","51.59999847","","71.84912394","82.759","","1468.640784","2.72","59","100","Unaffiliated Religions"
"Hungary","Europe","Eastern Europe","5634.003948","16.12","0.8668624","63","4244009000","40.29999924","0.06","65.16325092","74.414","10","1154.179932","20.16201","47.29999924","67.5","Christianity"
"Iceland","Europe","Northern Europe","33945.31442","7.38","0.0661","90","92770333.33","69.59999847","0.3","95.63811321","81.804","","2826.044873","11.42618084","73.59999847","92.26","Christianity"
"India","Asia","Southern Asia","786.7000981","2.69","0.5739204","19.1","30391317000","32.29999924","0.3","7.499995878","65.438","9","110.7054664","18.58382607","55.40000153","29.54","Hinduism"
"Indonesia","Asia","South-Eastern Asia","1143.831514","0.56","0.5159403","26.1","6710201667","44.09999847","0.2","9.900038672","69.366","8","221.9614614","11.39611149","61.5","51.46","Islam"
"Iran","Asia","Southern Asia","2161.54651","1.03","2.0263996","17.1","9183548000","26.89999962","0.2","13.00011072","72.974","-7","753.2098022","6.021882057","47.79999924","68.46","Islam"
"Iraq","Asia","Western Asia","736.2680538","0.47","7.7379125","31.7","2421917667","12.39999962","","2.471948347","69.042","0","0","17.03264618","37.40000153","66.6","Islam"
"Ireland","Europe","Northern Europe","27595.09135","14.92","0.4500244","74.9","1633778667","51","0.2","69.77039441","80.557","10","2051.802338","10.36507","59.90000153","61.34","Christianity"
"Israel","Asia","Western Asia","22275.75166","2.52","5.8731426","90.8","1561079667","46.40000153","0.2","65.38778594","81.618","10","2342.435248","5.931845","51.29999924","91.66","Judaism"
"Italy","Europe","Southern Europe","18982.26929","9.72","1.7293464","74.4","19000454000","35.79999924","0.3","53.7402166","81.855","10","1176.385457","4.930044509","46.40000153","68.08","Christianity"
"Jamaica","Latin America and the Caribbean","Caribbean","3665.348369","5.17","0.2437395","43.5","340090666.7","47.5","1.7","26.47722324","73.127","9","368.4346061","4.417507172","58.20000076","53.3","Christianity"
"Japan","Asia","Eastern Asia","39309.47886","7.79","0.3618584","32.7","46092214667","46.20000076","0.06","77.63853515","83.394","10","2257.572233","18.94693","57.29999924","66.48","Unaffiliated Religions"
"Jordan","Asia","Western Asia","2534.00038","0.65","5.9096991","33","377303666.7","13","","38.88120159","73.403","-3","719.4765302","0.201448724","38.90000153","78.42","Islam"
"Kazakhstan","Asia","Central Asia","2481.718918","11.1","0.9562696","38.7","2484925667","58.20000076","0.1","33.38212816","67.017","-6","484.098988","25.4046","63.70000076","57.94","Islam"
"Kenya","Africa","Eastern Africa","468.6960436","3.88","0.1595738","25.2","283583666.7","66.59999847","6.3","25.8997967","57.134","7","41.18000321","10.93771839","73.19999695","21.6","Christianity"
"corée du nord","Asia","Eastern Asia","","","10.6385211","20.4","5896388667","56","","","68.846","-9","0","4.735673428","64.59999847","62.68","Christianity"
"corée du sud","Asia","Eastern Asia","16372.49978","19.15","2.8339665","20.4","9666891667","48","0.06","82.515928","80.642","8","1142.309009","22.40456","58.90000153","81.46","Christianity"
"Kuwait","Asia","Western Asia","","0.1","1.6095482","31.8","1712755000","42","","38.26023355","74.576","-7","8362.567977","1.498057424","65.69999695","98.36","Islam"
"Kyrgyzstan","Asia","Central Asia","372.728414","4.72","0.8377678","23","87970666.67","48.79999924","0.3","19.58231645","67.714","1","428.3123071","9.875281","58.90000153","36.28","Islam"
"Laos","Asia","South-Eastern Asia","554.8798401","6.99","4.3015761","10.9","21332666.67","78.09999847","0.2","6.999880342","67.484","-7","","26.21919823","78.19999695","30.88","Buddhism"
"Latvia","Europe","Northern Europe","5011.219456","13.45","1.3164321","44.3","125755666.7","50.70000076","0.7","71.51472354","73.339","8","904.6694454","20.36959","56.79999924","68.12","Christianity"
"Lebanon","Asia","Western Asia","6746.612632","2.3","5.4065355","52.5","428006333.3","22.29999924","0.1","31.00437828","72.64","7","913.8456602","5.83831501","46","86.96","Islam"
"Lesotho","Africa","Southern Africa","495.7342469","5.56","0.2176526","13.1","","49.79999924","23.6","3.860565398","48.196","8","","7.858619213","56.29999924","25.46","Christianity"
"Liberia","Africa","Western Africa","155.0332312","5.07","0.1299529","18.8","38991333.33","53.20000076","1.5","7.000213821","56.786","6","","7.1848526","66","60.14","Christianity"
